ht,pot,mix,u,v,ws
1717,256.55,1.806,13.09,-12.64,18.1966398
1722,256.51,1.806,13.19,-12.69,18.30333849
1727.1,256.37,1.806,13.28,-12.74,18.40288021
1732.1,256.22,1.807,13.4,-12.76,18.50344833
1737.1,256.17,1.807,13.49,-12.8,18.59623887
1742.1,256.03,1.808,13.59,-12.85,18.70322432
1747.1,255.98,1.808,13.7,-12.87,18.79699178
1752.1,255.84,1.808,13.8,-12.91,18.89730404
1757.1,255.7,1.809,13.9,-12.96,19.00451525
1762.1,255.66,1.809,14.01,-12.98,19.09870414
1767.1,255.53,1.81,14.18,-13.09,19.2981994
1772.1,255.39,1.81,14.28,-13.13,19.3988479
1777.1,255.36,1.81,14.38,-13.17,19.49957179
1782.1,255.22,1.811,14.5,-13.19,19.60168615
1787.1,255.09,1.812,14.59,-13.23,19.69520246
1792.1,255.04,1.812,14.69,-13.27,19.7961865
1797.2,254.91,1.812,14.79,-13.32,19.90393177
1802.2,254.77,1.813,14.89,-13.36,20.00504186
1807.2,254.74,1.813,15.08,-13.44,20.2
1812.2,254.6,1.814,15.18,-13.48,20.30130045
1817.2,254.47,1.814,15.23,-13.42,20.29899751
1821.5,254.43,1.814,15.27,-13.37,20.2960538
1825.2,254.3,1.815,15.32,-13.32,20.30085712
1828.9,254.25,1.815,15.44,-13.33,20.3981004
1832.6,254.12,1.816,15.49,-13.28,20.40339433
1836.3,253.98,1.816,15.54,-13.22,20.40245083
1840,253.95,1.816,15.58,-13.17,20.40062009
1843.7,253.81,1.817,15.7,-13.18,20.49883899
1847.4,253.68,1.817,15.75,-13.12,20.49870484
1851.1,253.64,1.818,15.8,-13.07,20.50524079
1854.9,253.51,1.818,15.84,-13.01,20.4979438
1858.6,253.46,1.818,15.94,-13.05,20.60063349
1862.3,253.33,1.819,15.99,-12.99,20.60146111
1865.8,253.2,1.82,16.03,-12.94,20.60108007
1869.3,253.18,1.82,16.15,-12.94,20.69459108
1872.8,253.05,1.82,16.2,-12.89,20.70246604
1876.3,253.02,1.82,16.24,-12.83,20.69653353
1879.8,252.9,1.82,16.29,-12.77,20.69871977
1883.2,252.86,1.821,16.41,-12.78,20.79943509
1886.7,252.84,1.821,16.46,-12.72,20.80216335
1890.2,252.8,1.821,16.5,-12.66,20.79724982
1893.7,252.77,1.821,16.63,-12.67,20.90659704
1897.2,252.64,1.822,16.67,-12.61,20.90217692
1900.7,252.62,1.822,16.69,-12.58,20.90005981
1904.2,252.58,1.822,16.74,-12.52,20.90401875
1907.7,252.55,1.822,16.86,-12.52,21.00023809
1911.2,252.42,1.823,16.9,-12.46,20.9967045
1914.7,252.4,1.823,16.95,-12.4,21.00148804
1917.9,252.36,1.823,17.07,-12.4,21.09845729
1921.2,252.33,1.823,17.11,-12.34,21.09567965
1924.5,252.21,1.823,17.11,-12.34,21.09567965
1927.7,252.18,1.823,17.22,-12.37,21.20248335
1931,252.15,1.823,17.22,-12.37,21.20248335
1934.3,252.12,1.823,17.32,-12.4,21.30123001
1937.6,251.99,1.823,17.42,-12.43,21.40003037
1940.8,251.96,1.824,17.42,-12.43,21.40003037
1944.1,251.92,1.824,17.53,-12.45,21.50124182
1947.4,251.88,1.824,17.53,-12.45,21.50124182
1950.6,251.75,1.824,17.63,-12.48,21.60016898
1954.8,251.7,1.825,17.63,-12.48,21.60016898
1959.5,251.67,1.825,17.73,-12.51,21.69914745
1964.3,251.62,1.825,17.75,-12.48,21.69822343
1969.1,251.59,1.825,17.84,-12.54,21.80635687
1973.9,251.45,1.825,17.86,-12.5,21.79976147
1978.6,251.4,1.825,17.94,-12.56,21.89970776
1983.4,251.37,1.825,17.96,-12.53,21.8989155
1988.2,251.32,1.825,18.04,-12.59,21.99885679
1992.9,251.19,1.826,18.07,-12.56,22.00632864
1997.7,251.15,1.826,18.15,-12.61,22.10055655
2002.5,251.11,1.826,18.17,-12.58,22.09989366
2007.3,251.07,1.826,18.27,-12.61,22.1992117
2012,250.94,1.827,18.27,-12.61,22.1992117
2016.8,250.89,1.827,18.38,-12.63,22.30115019
2021.5,250.86,1.827,18.38,-12.63,22.30115019
2025,250.73,1.827,18.48,-12.66,22.40058035
2028.5,250.7,1.827,18.48,-12.66,22.40058035
2032,250.66,1.827,18.59,-12.68,22.50267762
2035.5,250.54,1.828,18.59,-12.68,22.50267762
2039,250.51,1.828,18.69,-12.7,22.59659488
2042.5,250.48,1.828,18.69,-12.7,22.59659488
2046,250.35,1.829,18.88,-12.78,22.79874558
2049.5,250.32,1.829,18.96,-12.84,22.89862878
2053,250.29,1.829,19.15,-12.92,23.10084198
2056.4,250.26,1.829,19.23,-12.97,23.19512449
2059.9,250.13,1.829,19.42,-13.05,23.39741225
2063.4,250.1,1.829,19.51,-13.11,23.50557806
2066.9,250.07,1.829,19.69,-13.18,23.69406044
2070.4,250.04,1.829,19.86,-13.3,23.90208359
2073.9,249.91,1.83,19.94,-13.35,23.99637681
2077.4,249.87,1.83,20.13,-13.43,24.19879749
2080.9,249.85,1.83,20.22,-13.48,24.3014156
2084.8,249.81,1.83,20.41,-13.56,24.50391193
2088.8,249.77,1.83,20.49,-13.61,24.59821538
2092.7,249.74,1.83,20.68,-13.69,24.8007762
2096.6,249.7,1.83,20.76,-13.74,24.89508385
2100.5,249.76,1.83,20.93,-13.85,25.09755765
2104.5,249.73,1.83,21.04,-13.87,25.20036706
2108.4,249.69,1.83,21.21,-13.98,25.40284433
2112.3,249.66,1.829,21.29,-14.04,25.50266065
2116.2,249.62,1.829,21.48,-14.11,25.69985409
2120.2,249.68,1.219,21.56,-14.16,25.79416988
2124.1,249.64,1.219,21.76,-14.24,26.00529177
2128,249.61,1.219,21.84,-14.29,26.09961111
2132,249.58,1.219,22.01,-14.4,26.30209307
2135.3,249.64,1.219,22.12,-14.42,26.40512829
2137.9,249.71,1.218,22.28,-14.53,26.59923495
2140.6,249.78,1.218,22.37,-14.58,26.70193439
2143.3,249.85,0.609,22.56,-14.65,26.89936988
2146,249.91,0.608,22.64,-14.71,26.99914258
2148.6,249.98,0.608,22.81,-14.81,27.19617988
2151.3,249.96,0.608,22.95,-14.79,27.30286798
2154,250.03,0.608,22.97,-14.75,27.29804755
2156.6,250,0.608,23.08,-14.76,27.39605811
2159.3,249.98,0.608,23.11,-14.72,27.39982664
2162,249.95,0.608,23.24,-14.69,27.49352105
2164.7,249.92,0.608,23.27,-14.65,27.49755262
2167.3,249.91,0.608,23.38,-14.67,27.60132787
2170,249.88,0.608,23.49,-14.68,27.69986462
2172.7,249.85,0.608,23.54,-14.6,27.70002888
2175.3,249.73,0.608,23.65,-14.61,27.79882372
2178,249.71,0.608,23.68,-14.57,27.8033685
2180.7,249.68,0.608,23.79,-14.58,27.90233861
2183.3,249.66,0.608,23.92,-14.55,27.99765883
2186,249.64,0.608,23.95,-14.5,27.99736595
2188.7,249.61,0.608,24.06,-14.51,28.09668486
2191.3,249.58,0.608,24.09,-14.47,28.10176151
2194,249.57,0.608,24.2,-14.48,28.2012482
2196.7,249.45,0.608,24.25,-14.4,28.20323563
2199.3,249.42,0.608,24.36,-14.41,28.30296274
2202,249.4,0.608,24.47,-14.41,28.39769357
2204.7,249.37,0.608,24.5,-14.37,28.4032903
