ht_new,ln_ht_new,u_new,v_new,ws_new,,ht_old,ln_ht_old,u_old,v_old,ws_old,,ws_adj,,,ln_ht_old_old,ht,,,u,v,ws_old_old,,ht_new_new,temp,moisture,u_new_new,v_new_new,ws_new_new,ln_ht
,,,,,,,,,,,,,,,6.731972299,838.8,271.19,2.936,10.46,-8.53,13.49712932,,847.6,271.02,2.937,10.41,-8.43,18.49398536,6.742408826
,,,,,,,,,,,,,,,6.737204178,843.2,271.06,2.937,10.48,-8.51,13.50001852,,851.9,270.99,2.937,10.41,-8.43,18.49398536,6.747469149
,,,,,,,,,,,,,,,6.742408826,847.6,271.02,2.937,10.41,-8.43,13.39526036,,856.3,270.94,2.937,10.43,-8.41,18.49697116,6.752620782
,,,,,,,,,,,,,,,6.747469149,851.9,270.99,2.937,10.41,-8.43,13.39526036,,860.7,270.81,2.938,10.44,-8.4,18.49848619,6.757746012
,,,,,,,,,,,,,,,6.752620782,856.3,270.94,2.937,10.43,-8.41,13.39824615,,865.1,270.77,2.938,10.44,-8.4,18.49848619,6.762845107
,,,,,,,,,,,,,,,6.757746012,860.7,270.81,2.938,10.44,-8.4,13.39976119,,869.5,270.74,2.938,10.44,-8.4,18.49848619,6.767918334
,,,,,,,,,,,,,,,6.762845107,865.1,270.77,2.938,10.44,-8.4,13.39976119,,873.9,270.6,2.939,10.46,-8.38,18.50156052,6.772965953
,,,,,,,,,,,,,,,6.767918334,869.5,270.74,2.938,10.44,-8.4,13.39976119,,878.2,270.56,2.939,10.46,-8.38,18.50156052,6.777874358
,,,,,,,,,,,,,,,6.772965953,873.9,270.6,2.939,10.46,-8.38,13.40283552,,882.6,270.52,2.939,10.46,-8.38,18.50156052,6.782872097
,,,,,,,,,,,,,,,6.777874358,878.2,270.56,2.939,10.46,-8.38,13.40283552,,887,270.39,2.941,10.39,-8.3,18.39692413,6.787844982
,,,,,,,,,,,,,,,6.782872097,882.6,270.52,2.939,10.46,-8.38,13.40283552,,891.1,270.35,2.941,10.39,-8.3,18.39692413,6.792456655
,,,,,,,,,,,,,,,6.787844982,887,270.39,2.941,10.39,-8.3,13.29819913,,894.8,270.32,2.941,10.39,-8.3,18.39692413,6.79660023
,,,,,,,,,,,,,,,6.792456655,891.1,270.35,2.941,10.39,-8.3,13.29819913,,898.6,270.29,2.941,10.39,-8.3,18.39692413,6.800837997
,,,,,,,,,,,,,,,6.79660023,894.8,270.32,2.941,10.39,-8.3,13.29819913,,902.3,270.16,2.942,10.41,-8.28,18.40009711,6.804947059
,,,,,,,,,,,,,,,6.800837997,898.6,270.29,2.941,10.39,-8.3,13.29819913,,906,270.12,2.942,10.41,-8.28,18.40009711,6.809039306
,,,,,,,,,,,,,,,6.804947059,902.3,270.16,2.942,10.41,-8.28,13.30137211,,909.8,270.09,2.942,10.41,-8.28,18.40009711,6.813224795
