ht,pot,mix,u,v,ws,,ht_new,pot_new,mix_new,u_new,v_new,ws_new,,ht_smooth_new,pot_smooth_new,mix_smooth_new,u_smooth_new,v_smooth_new,ws_smooth_new,,Dir_1,Dir_2
499.9,277.4,2.905,9.22,-9.99,13.59442901,,499.9,277.4,2.905,8.54,-9.26,12.59442901,,499.9,277.4,2.905,8.54,-9.26,12.59442901,,0.825652424325338,2.39682545902136
504.1,277.36,2.905,9.26,-9.96,13.59960294,,504.1,277.36,2.905,8.58,-9.23,12.59960294,,504.1,277.36,2.905,8.58,-9.23,12.59960294,,0.821704689146394,2.39287559279741
508.2,277.22,2.906,9.29,-9.93,13.59812487,,508.2,277.22,2.906,8.61,-9.2,12.59812487,,508.2,277.22,2.906,8.61,-9.2,12.59812487,,0.818338529908183,2.38950962348402
512.4,277.18,2.906,9.31,-9.91,13.59721295,,512.4,277.18,2.906,8.63,-9.18,12.59721295,,512.4,277.18,2.906,8.63,-9.18,12.59721295,,0.816093563878514,2.38726571592093
516.5,277.14,2.906,9.34,-9.88,13.59595528,,516.5,277.14,2.906,8.65,-9.15,12.59595528,,516.5,277.14,2.906,8.65,-9.15,12.59595528,,0.813817591331912,2.38390000699729
520.7,277,2.907,9.38,-9.85,13.60172416,,520.7,277,2.907,8.69,-9.13,12.60172416,,520.7,277,2.907,8.69,-9.13,12.60172416,,0.80987608493556,2.38111089795278
524.8,276.96,2.907,9.41,-9.82,13.60075366,,524.8,276.96,2.907,8.72,-9.1,12.60075366,,524.8,276.96,2.907,8.72,-9.1,12.60075366,,0.806509850012137,2.37774370577622
529,276.92,2.907,9.45,-9.78,13.59966544,,529,276.92,2.907,8.76,-9.06,12.59966544,,529,276.92,2.907,8.76,-9.06,12.59966544,,0.802019545960065,2.37325473655795
533.1,276.78,2.908,9.46,-9.77,13.59943014,,533.1,276.78,2.908,8.76,-9.05,12.59943014,,533.1,276.78,2.908,8.76,-9.05,12.59943014,,0.802001481083035,2.37213261943066
537.2,276.74,2.908,9.5,-9.73,13.59863596,,537.2,276.74,2.908,8.8,-9.01,12.59863596,,537.2,276.74,2.908,8.8,-9.01,12.59863596,,0.797513423018251,2.36764471940798
541.4,276.7,2.908,9.53,-9.7,13.59819473,,541.4,276.7,2.908,8.83,-8.99,12.59819473,,541.4,276.7,2.908,8.83,-8.99,12.59819473,,0.794146109988833,2.36541184295185
545.4,276.56,2.909,9.57,-9.67,13.60491823,,545.4,276.56,2.909,8.87,-8.96,12.60491823,,545.4,276.56,2.909,8.87,-8.96,12.60491823,,0.790213587198936,2.36147906278616
549.2,276.52,2.909,9.6,-9.63,13.59767995,,549.2,276.52,2.909,8.89,-8.92,12.59767995,,549.2,276.52,2.909,8.89,-8.92,12.59767995,,0.787406152215078,2.35755320545057
553,276.39,2.91,9.63,-9.6,13.59767995,,553,276.39,2.91,8.92,-8.89,12.59767995,,553,276.39,2.91,8.92,-8.89,12.59767995,,0.784039448139225,2.35418650137472
556.7,276.36,2.91,9.65,-9.58,13.59775349,,556.7,276.36,2.91,8.94,-8.88,12.59775349,,556.7,276.36,2.91,8.94,-8.88,12.59775349,,0.781794532479086,2.35306097336379
560.5,276.32,2.91,9.68,-9.55,13.59797411,,560.5,276.32,2.91,8.97,-8.85,12.59797411,,560.5,276.32,2.91,8.97,-8.85,12.59797411,,0.77842653387168,2.34969199038077
